PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Herbert Jones,35,NOP,2021,78.0,29.9,3.5,7.4,1.8,2.1,1.3,2.5,2.1,1.7,0.8,1.3,3.1,9.5,15.2,0.0,3.3,11.8
Miles McBride,36,OKC,2021,40.0,9.3,0.8,2.7,0.2,0.3,0.1,1.0,1.0,0.4,0.0,0.1,1.1,2.2,4.6,-1.4,0.4,5.7
JT Thor,37,DET,2021,33.0,7.9,0.7,1.7,0.4,0.6,0.3,1.0,0.6,0.2,0.3,0.3,0.8,2.0,1.0,-4.4,-1.2,8.9
Ayo Dosunmu,38,CHI,2021,77.0,27.4,3.6,6.9,0.7,1.0,0.4,2.4,3.3,0.8,0.4,1.4,2.4,8.8,10.1,-1.7,0.4,10.6
Neemias Queta,39,SAC,2021,15.0,8.0,1.1,2.5,0.7,1.1,0.9,1.1,0.4,0.1,0.5,0.4,1.2,3.0,2.0,-0.4,0.2,12.5
Jared Butler,40,NOP,2021,42.0,8.6,1.5,3.6,0.3,0.4,0.1,1.0,1.5,0.4,0.2,0.8,1.1,3.8,1.2,-1.9,0.0,11.0
Joe Wieskamp,41,SAS,2021,29.0,7.1,0.7,1.9,0.2,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.5,2.1,0.1,-5.3,-0.2,6.2
Isaiah Livers,42,DET,2021,19.0,20.2,2.2,4.7,0.6,0.7,0.8,2.2,1.1,0.7,0.4,0.8,1.9,6.4,1.6,-3.2,-0.6,10.9
Greg Brown III,43,NOP,2021,48.0,13.3,1.7,4.0,0.9,1.4,0.8,2.0,0.7,0.5,0.5,0.8,1.9,4.7,0.2,-5.1,-0.6,9.9
Kessler Edwards,44,BRK,2021,48.0,20.6,2.3,5.6,0.3,0.4,0.9,2.7,0.6,0.6,0.5,0.9,1.8,5.9,1.5,-3.5,-0.6,7.8
Juhann Begarin,45,BOS,2021,,,,,,,,,,,,,,,,,,
Dalano Banton,46,TOR,2021,64.0,10.9,1.3,3.2,0.4,0.7,0.6,1.3,1.5,0.4,0.2,0.8,1.1,3.2,1.3,-1.8,0.1,9.0
David Johnson,47,TOR,2021,2.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.7,0.0,-17.1
Sharife Cooper,48,ATL,2021,13.0,3.0,0.2,1.1,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.4,0.1,0.5,-0.2,-16.3,-0.1,-5.7
Marcus Zegarowski,49,BRK,2021,,,,,,,,,,,,,,,,,,
Filip Petrušev,50,PHI,2021,,,,,,,,,,,,,,,0.0,-8.0,0.0,
Brandon Boston Jr.,51,MEM,2021,51.0,14.9,2.5,6.4,1.2,1.4,0.3,1.8,1.0,0.5,0.3,0.6,0.8,6.7,0.3,-4.6,-0.9,11.1
Luka Garza,52,DET,2021,32.0,12.2,2.1,4.6,1.2,1.9,1.8,1.3,0.6,0.3,0.2,0.6,1.7,5.8,2.2,-1.8,0.0,15.2
Charles Bassey,53,PHI,2021,23.0,7.3,1.3,2.0,0.4,0.5,1.0,1.7,0.3,0.2,0.7,0.3,1.4,3.0,2.7,1.0,0.7,20.8
Sandro Mamukelashvili,54,IND,2021,41.0,9.9,1.4,2.8,0.4,0.5,0.9,1.1,0.5,0.2,0.2,0.4,0.7,3.8,3.0,-1.3,0.3,14.5
Aaron Wiggins,55,OKC,2021,50.0,24.2,3.1,6.7,1.2,1.7,1.0,2.5,1.4,0.6,0.2,1.1,1.9,8.3,7.5,-1.9,0.1,9.7
Scottie Lewis,56,CHO,2021,2.0,3.5,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,6.0,0.0,13.5
Balša Koprivica,57,CHO,2021,,,,,,,,,,,,,,,,,,
Jericho Sims,58,NYK,2021,41.0,13.5,1.0,1.3,0.3,0.7,1.5,2.6,0.5,0.3,0.5,0.5,1.6,2.2,5.6,-1.2,0.4,11.1
RaiQuan Gray,59,BRK,2021,,,,,,,,,,,,,,,0.2,2.9,0.1,
Georgios Kalaitzakis,60,IND,2021,9.0,5.3,0.6,1.2,0.4,1.0,0.4,0.4,0.0,0.1,0.1,0.4,0.9,1.8,-0.1,-7.0,-0.3,5.1
Georgios Kalaitzakis,60,IND,2021,4.0,41.5,6.5,14.0,2.5,5.3,0.5,2.8,3.0,2.5,0.3,4.0,2.8,17.5,-0.1,-7.0,-0.3,8.5
