PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Paolo Banchero,1,ORL,2022,72.0,33.8,6.7,15.6,5.5,7.4,1.2,5.7,3.7,0.8,0.5,2.8,2.2,20.0,7.6,0.0,2.7,15.1
Chet Holmgren,2,OKC,2022,,,,,,,,,,,,,,,8.9,3.4,3.3,
Jabari Smith Jr.,3,HOU,2022,79.0,31.0,4.6,11.3,2.1,2.6,1.5,5.7,1.3,0.5,0.9,1.3,2.9,12.8,7.5,-2.0,0.0,11.2
Keegan Murray,4,SAC,2022,80.0,29.8,4.4,9.8,0.8,1.0,1.1,3.5,1.2,0.8,0.5,0.8,2.0,12.2,9.5,-0.7,1.6,12.4
Jaden Ivey,5,DET,2022,74.0,31.1,5.5,13.3,3.6,4.8,1.0,2.9,5.2,0.8,0.2,3.2,3.3,16.3,0.4,-3.2,-1.4,12.1
Bennedict Mathurin,6,IND,2022,78.0,28.5,5.3,12.2,4.8,5.8,1.1,3.0,1.5,0.6,0.2,1.9,2.1,16.7,3.2,-3.6,-1.5,14.2
Shaedon Sharpe,7,POR,2022,80.0,22.2,3.8,8.1,0.9,1.3,0.8,2.2,1.2,0.5,0.3,1.0,1.7,9.9,1.7,-3.1,-0.8,11.8
Dyson Daniels,8,NOP,2022,59.0,17.7,1.5,3.5,0.4,0.7,0.6,2.6,2.3,0.7,0.2,1.0,1.7,3.8,4.2,-0.5,0.9,8.5
Jeremy Sochan,9,SAS,2022,56.0,26.0,4.5,9.9,1.4,2.1,1.7,3.6,2.5,0.8,0.4,1.7,2.5,11.0,1.5,-3.6,-1.5,12.2
Johnny Davis,10,WAS,2022,28.0,15.1,2.4,6.1,0.5,1.0,0.4,2.0,1.0,0.4,0.3,0.6,1.7,5.8,-0.4,-6.9,-1.3,7.5
Ousmane Dieng,11,NYK,2022,39.0,14.6,1.9,4.6,0.4,0.6,0.5,2.2,1.2,0.4,0.2,0.7,1.1,4.9,0.9,-3.4,-0.3,9.5
Jalen Williams,12,OKC,2022,75.0,30.3,5.5,10.6,2.1,2.5,1.1,3.4,3.3,1.4,0.5,1.6,2.5,14.1,12.9,1.3,3.8,16.1
Jalen Duren,13,CHO,2022,67.0,24.9,3.9,5.9,1.4,2.3,3.4,5.5,1.1,0.7,0.9,1.4,2.7,9.1,9.3,-0.4,1.3,17.6
Ochai Agbaji,14,CLE,2022,59.0,20.5,2.8,6.5,0.9,1.2,0.7,1.3,1.1,0.3,0.3,0.7,1.7,7.9,1.4,-3.8,-1.3,9.7
Mark Williams,15,CHO,2022,43.0,19.3,3.7,5.8,1.6,2.3,2.2,4.9,0.4,0.7,1.0,0.9,2.2,9.0,4.9,0.3,0.8,20.5
AJ Griffin,16,ATL,2022,72.0,19.5,3.4,7.4,0.6,0.7,0.5,1.6,1.0,0.6,0.2,0.6,1.2,8.9,1.8,-1.7,0.1,12.6
Tari Eason,17,HOU,2022,82.0,21.5,3.6,8.0,1.3,1.8,2.4,3.7,1.1,1.2,0.6,1.2,2.3,9.3,3.8,-1.0,0.6,15.8
Dalen Terry,18,CHI,2022,38.0,5.6,0.8,1.9,0.4,0.6,0.3,0.7,0.6,0.3,0.1,0.2,0.6,2.2,1.3,-1.7,0.1,13.6
