PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Anthony Edwards,1,MIN,2020,72.0,32.1,7.0,16.8,2.9,3.8,0.8,3.8,2.9,1.1,0.5,2.2,1.8,19.3,16.5,0.9,7.7,14.3
James Wiseman,2,GSW,2020,39.0,21.4,4.9,9.4,1.4,2.2,1.4,4.4,0.7,0.3,0.9,1.5,3.1,11.5,4.3,-3.9,-1.4,14.0
LaMelo Ball,3,CHO,2020,51.0,28.8,5.7,13.2,2.5,3.2,1.2,4.7,6.1,1.6,0.4,2.8,2.7,15.7,11.6,2.8,7.1,17.6
Patrick Williams,4,CHI,2020,71.0,27.9,3.6,7.4,1.3,1.8,0.9,3.7,1.4,0.9,0.6,1.4,1.8,9.2,8.0,-1.9,0.2,10.3
Isaac Okoro,5,CLE,2020,67.0,32.4,3.5,8.3,1.7,2.3,1.0,2.1,1.9,0.9,0.4,1.3,2.8,9.6,13.5,-2.2,-0.4,7.6
Onyeka Okongwu,6,ATL,2020,50.0,12.0,1.9,3.0,0.7,1.1,1.2,2.0,0.4,0.5,0.7,0.6,2.0,4.6,17.7,0.2,2.7,16.2
Killian Hayes,7,DET,2020,26.0,25.8,2.7,7.7,0.5,0.7,0.2,2.4,5.3,1.0,0.4,3.2,2.2,6.8,-0.5,-3.9,-2.7,5.2
Obi Toppin,8,NYK,2020,62.0,11.0,1.7,3.4,0.3,0.4,0.4,1.8,0.5,0.3,0.2,0.4,0.9,4.1,12.3,0.9,3.4,11.8
Deni Avdija,9,WAS,2020,54.0,23.3,2.4,5.8,0.5,0.8,0.4,4.4,1.2,0.6,0.3,0.6,2.6,6.3,9.1,-1.9,0.3,7.5
Jalen Smith,10,PHO,2020,27.0,5.8,0.8,1.9,0.2,0.3,0.3,1.1,0.1,0.0,0.2,0.3,0.6,2.0,9.1,-0.4,1.3,7.7
Devin Vassell,11,SAS,2020,62.0,17.0,2.0,4.9,0.7,0.8,0.4,2.4,0.9,0.7,0.3,0.4,1.4,5.5,9.7,-0.3,2.7,10.3
Tyrese Haliburton,12,SAC,2020,58.0,30.1,5.0,10.7,0.8,1.0,0.7,2.3,5.3,1.3,0.5,1.6,1.4,13.0,27.2,4.5,14.0,15.8
Kira Lewis Jr.,13,NOP,2020,54.0,16.7,2.4,6.2,0.8,0.9,0.2,1.1,2.3,0.7,0.2,0.6,1.6,6.4,1.3,-3.5,-0.6,10.6
Aaron Nesmith,14,BOS,2020,46.0,14.5,1.7,3.9,0.5,0.6,0.6,2.2,0.5,0.3,0.2,0.5,1.9,4.7,7.6,-2.2,-0.2,8.7
Cole Anthony,15,ORL,2020,47.0,27.1,4.7,11.7,2.3,2.8,0.8,3.9,4.1,0.6,0.4,2.3,2.1,12.9,8.9,-0.7,2.2,12.0
Isaiah Stewart,16,POR,2020,68.0,21.4,3.3,6.0,0.9,1.4,2.3,4.3,0.9,0.6,1.3,1.0,2.7,7.9,11.1,-2.2,-0.4,16.0
Aleksej Pokusevski,17,MIN,2020,45.0,24.2,3.1,9.1,0.7,0.9,0.7,4.0,2.2,0.4,0.9,2.2,1.3,8.2,-0.2,-3.1,-1.0,6.5
