PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Deandre Ayton,1,PHO,2018,,,,,,,,,,,,,,,34.8,1.0,8.3,
Marvin Bagley III,2,SAC,2018,,,,,,,,,,,,,,,12.0,-1.6,0.6,
Luka Dončić,3,ATL,2018,,,,,,,,,,,,,,,51.2,7.8,34.3,
Jaren Jackson Jr.,4,MEM,2018,,,,,,,,,,,,,,,22.4,0.6,6.3,
Trae Young,5,DAL,2018,,,,,,,,,,,,,,,37.6,3.0,17.5,
Mo Bamba,6,ORL,2018,,,,,,,,,,,,,,,14.6,0.1,3.0,
Wendell Carter Jr.,7,CHI,2018,,,,,,,,,,,,,,,22.5,-0.1,4.2,
Collin Sexton,8,CLE,2018,,,,,,,,,,,,,,,13.4,-1.5,1.3,
Kevin Knox,9,NYK,2018,,,,,,,,,,,,,,,0.7,-4.5,-3.5,
Mikal Bridges,10,PHI,2018,,,,,,,,,,,,,,,36.3,0.9,11.4,
Shai Gilgeous-Alexander,11,CHO,2018,,,,,,,,,,,,,,,43.6,4.3,20.2,
Miles Bridges,12,LAC,2018,,,,,,,,,,,,,,,18.2,-0.4,4.4,
Jerome Robinson,13,LAC,2018,,,,,,,,,,,,,,,-0.2,-4.8,-1.2,
Michael Porter Jr.,14,DEN,2018,,,,,,,,,,,,,,,20.1,0.9,5.5,
Troy Brown Jr.,15,WAS,2018,,,,,,,,,,,,,,,8.6,-1.8,0.4,
Zhaire Smith,16,PHO,2018,,,,,,,,,,,,,,,0.0,-6.1,-0.1,
Donte DiVincenzo,17,MIL,2018,,,,,,,,,,,,,,,20.0,1.0,6.7,
Lonnie Walker IV,18,SAS,2018,,,,,,,,,,,,,,,4.6,-2.5,-0.9,
Kevin Huerter,19,ATL,2018,,,,,,,,,,,,,,,17.2,-0.8,3.5,
Josh Okogie,20,MIN,2018,,,,,,,,,,,,,,,10.3,-2.1,-0.2,
Grayson Allen,21,UTA,2018,,,,,,,,,,,,,,,20.0,0.0,4.5,
Chandler Hutchison,22,CHI,2018,,,,,,,,,,,,,,,1.1,-3.9,-0.9,
Aaron Holiday,23,IND,2018,,,,,,,,,,,,,,,8.1,-2.1,-0.2,
Anfernee Simons,24,POR,2018,,,,,,,,,,,,,,,8.6,-1.5,1.1,
Moritz Wagner,25,LAL,2018,,,,,,,,,,,,,,,14.9,-0.1,2.6,
Landry Shamet,26,PHI,2018,,,,,,,,,,,,,,,12.1,-2.0,0.0,
Robert Williams,27,BOS,2018,,,,,,,,,,,,,,,22.6,4.8,7.5,
Jacob Evans,28,GSW,2018,,,,,,,,,,,,,,,-0.6,-7.4,-0.8,
Džanan Musa,29,BRK,2018,,,,,,,,,,,,,,,0.0,-4.6,-0.4,
Omari Spellman,30,ATL,2018,,,,,,,,,,,,,,,2.4,-1.5,0.2,
Elie Okobo,31,PHO,2018,,,,,,,,,,,,,,,0.5,-4.1,-0.9,
Jevon Carter,32,MEM,2018,,,,,,,,,,,,,,,8.2,-1.4,0.8,
Jalen Brunson,33,DAL,2018,,,,,,,,,,,,,,,37.2,2.1,12.4,
Devonte' Graham,34,ATL,2018,,,,,,,,,,,,,,,12.7,-0.5,3.2,
Melvin Frazier,35,ORL,2018,,,,,,,,,,,,,,,-0.4,-10.0,-0.6,
Mitchell Robinson,36,NYK,2018,,,,,,,,,,,,,,,33.9,2.1,8.1,
Gary Trent Jr.,37,SAC,2018,,,,,,,,,,,,,,,15.8,-1.0,2.4,
Khyri Thomas,38,PHI,2018,,,,,,,,,,,,,,,0.5,-2.7,-0.1,
Isaac Bonga,39,PHI,2018,,,,,,,,,,,,,,,1.7,-3.6,-0.7,
Rodions Kurucs,40,BRK,2018,,,,,,,,,,,,,,,2.3,-2.8,-0.4,
Jarred Vanderbilt,41,ORL,2018,,,,,,,,,,,,,,,15.4,0.2,3.0,
Bruce Brown,42,DET,2018,,,,,,,,,,,,,,,19.3,-1.3,1.9,
Justin Jackson,43,DEN,2018,68.0,22.1,2.7,6.2,0.4,0.5,0.4,2.4,1.1,0.4,0.2,0.6,1.2,6.7,,,,8.1
Issuf Sanon,44,WAS,2018,,,,,,,,,,,,,,,,,,
Hamidou Diallo,45,BRK,2018,,,,,,,,,,,,,,,6.2,-2.1,-0.1,
De'Anthony Melton,46,HOU,2018,,,,,,,,,,,,,,,14.1,0.6,5.3,
Svi Mykhailiuk,47,LAL,2018,,,,,,,,,,,,,,,4.2,-2.4,-0.4,
Keita Bates-Diop,48,MIN,2018,,,,,,,,,,,,,,,7.4,-1.6,0.5,
Chimezie Metu,49,SAS,2018,,,,,,,,,,,,,,,5.7,-1.6,0.3,
Alize Johnson,50,IND,2018,,,,,,,,,,,,,,,1.3,-2.4,-0.1,
Tony Carr,51,NOP,2018,,,,,,,,,,,,,,,,,,
Vince Edwards,52,UTA,2018,,,,,,,,,,,,,,,0.0,-6.4,0.0,
Devon Hall,53,OKC,2018,,,,,,,,,,,,,,,-0.2,-6.7,-0.1,
Shake Milton,54,DAL,2018,,,,,,,,,,,,,,,10.4,-2.0,0.0,
Arnoldas Kulboka,55,CHO,2018,,,,,,,,,,,,,,,0.0,-21.8,0.0,
Ray Spalding,56,PHI,2018,,,,,,,,,,,,,,,0.1,-6.2,-0.2,
