PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Victor Wembanyama,1,SAS,2023,71.0,29.7,7.8,16.7,4.1,5.2,2.3,8.4,3.9,1.2,3.6,3.7,2.2,21.4,3.7,5.2,3.8,25.4
Brandon Miller,2,CHO,2023,74.0,32.2,6.4,14.6,1.9,2.3,0.8,3.4,2.4,0.9,0.6,1.8,2.5,17.3,0.8,-2.6,-0.3,13.4
Scoot Henderson,3,POR,2023,62.0,28.5,5.0,12.9,2.7,3.3,0.9,2.3,5.4,0.8,0.2,3.4,3.1,14.0,-1.7,-5.8,-1.7,10.1
Amen Thompson,4,HOU,2023,62.0,22.4,3.9,7.2,1.7,2.5,2.4,4.2,2.6,1.3,0.6,1.5,2.3,9.5,4.3,1.8,1.3,18.6
Ausar Thompson,5,DET,2023,63.0,25.1,3.7,7.6,1.1,1.9,2.0,4.3,1.9,1.1,0.9,1.3,2.8,8.8,1.8,-2.2,-0.1,13.3
Anthony Black,6,ORL,2023,69.0,16.9,1.7,3.6,0.7,1.2,0.5,1.5,1.3,0.5,0.3,0.8,1.6,4.6,1.6,-3.0,-0.3,8.2
Bilal Coulibaly,7,IND,2023,63.0,27.2,3.0,6.9,1.5,2.1,0.9,3.2,1.7,0.9,0.8,1.4,2.2,8.4,0.4,-4.2,-0.9,9.4
Jarace Walker,8,WAS,2023,33.0,10.3,1.4,3.3,0.2,0.3,0.4,1.5,1.2,0.5,0.3,0.5,0.9,3.6,0.4,0.2,0.2,12.7
Taylor Hendricks,9,UTA,2023,40.0,21.4,2.7,6.0,0.6,0.7,1.2,3.5,0.8,0.7,0.8,0.7,1.9,7.3,1.2,-1.6,0.1,12.5
Cason Wallace,10,DAL,2023,82.0,20.6,2.6,5.4,0.4,0.5,0.6,1.6,1.5,0.9,0.5,0.5,1.6,6.8,4.0,0.1,0.9,12.2
Jett Howard,11,ORL,2023,18.0,3.7,0.6,1.7,0.1,0.2,0.1,0.3,0.3,0.1,0.1,0.2,0.2,1.6,0.0,-1.8,0.0,8.5
Dereck Lively II,12,OKC,2023,55.0,23.5,4.0,5.4,0.7,1.5,2.5,4.4,1.1,0.7,1.4,0.9,2.6,8.8,4.9,0.5,0.8,18.8
Gradey Dick,13,TOR,2023,60.0,21.1,3.2,7.4,0.7,0.9,0.5,1.8,1.1,0.6,0.0,0.8,1.5,8.5,0.3,-5.4,-1.1,9.7
Jordan Hawkins,14,NOP,2023,67.0,17.3,2.6,6.8,1.0,1.2,0.4,1.8,1.0,0.3,0.1,0.6,1.1,7.8,1.3,-3.1,-0.3,10.4
Kobe Bufkin,15,ATL,2023,17.0,11.5,2.0,5.4,0.2,0.5,0.4,1.6,1.6,0.4,0.3,0.6,1.2,4.8,-0.1,-4.5,-0.1,9.9
Keyonte George,16,UTA,2023,75.0,27.0,4.3,10.9,2.5,3.0,0.2,2.6,4.4,0.5,0.1,2.5,1.2,13.0,-0.3,-4.4,-1.2,11.3
Jalen Hood-Schifino,17,LAL,2023,21.0,5.2,0.5,2.1,0.6,1.0,0.1,0.5,0.4,0.1,0.1,0.4,0.6,1.6,-0.5,-16.1,-0.4,-0.9
Jaime Jaquez Jr.,18,MIA,2023,75.0,28.2,4.5,9.3,1.9,2.3,1.1,2.7,2.6,1.0,0.3,1.5,2.2,11.9,4.0,-1.9,0.1,13.2
Brandin Podziemski,19,GSW,2023,74.0,26.6,3.7,8.1,0.7,1.1,1.6,4.2,3.7,0.8,0.2,1.2,1.6,9.2,4.1,-0.1,0.9,13.7
Cam Whitmore,20,HOU,2023,47.0,18.7,4.5,9.9,1.6,2.4,0.9,2.9,0.7,0.6,0.4,1.0,1.4,12.3,1.5,0.1,0.5,17.0
Noah Clowney,21,BRK,2023,23.0,16.1,2.2,4.0,0.9,1.3,1.1,2.4,0.8,0.3,0.7,0.7,1.1,5.8,0.9,-0.7,0.1,14.4
Dariq Whitehead,22,BRK,2023,2.0,12.0,0.5,2.5,0.5,1.0,0.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5,0.0,-7.9,0.0,5.1
Kris Murray,23,POR,2023,62.0,21.7,2.3,5.9,0.6,0.9,1.4,2.2,1.3,0.9,0.3,0.9,1.5,6.1,0.7,-3.6,-0.6,9.3
Olivier-Maxence Prosper,24,SAC,2023,40.0,8.4,1.0,2.6,0.7,1.0,0.6,1.4,0.6,0.2,0.1,0.2,0.5,3.0,0.5,-2.9,-0.1,12.5
Marcus Sasser,25,MEM,2023,71.0,19.0,3.1,7.2,0.8,0.9,0.2,1.6,3.3,0.6,0.2,1.3,1.5,8.3,0.9,-2.6,-0.2,12.5
Ben Sheppard,26,IND,2023,57.0,14.3,1.6,4.0,0.4,0.5,0.3,1.3,0.9,0.6,0.0,0.3,1.5,4.4,0.8,-3.4,-0.3,8.4
Nick Smith Jr.,27,CHO,2023,51.0,14.3,2.2,5.7,0.3,0.3,0.4,1.1,1.2,0.2,0.1,0.8,1.1,5.9,-0.5,-5.9,-0.7,8.3
Brice Sensabaugh,28,UTA,2023,32.0,18.3,2.7,6.8,1.2,1.3,0.5,2.7,1.7,0.4,0.2,1.5,1.3,7.5,-0.3,-5.5,-0.5,9.3
Julian Strawther,29,IND,2023,50.0,10.9,1.6,4.4,0.4,0.6,0.1,1.1,0.9,0.3,0.1,0.5,1.1,4.5,0.2,-6.0,-0.6,7.7
Kobe Brown,30,LAC,2023,44.0,9.0,0.8,2.0,0.0,0.0,0.5,1.0,0.6,0.3,0.1,0.2,1.1,2.0,0.5,-3.8,-0.2,7.9
James Nnaji,31,DET,2023,,,,,,,,,,,,,,,,,,
Jalen Pickett,32,IND,2023,27.0,4.5,0.6,1.3,0.1,0.1,0.0,0.5,0.8,0.1,0.0,0.3,0.5,1.6,0.2,-3.3,0.0,10.4
Leonard Miller,33,SAS,2023,17.0,3.1,0.8,1.2,0.1,0.1,0.3,0.9,0.5,0.1,0.1,0.1,0.3,1.7,0.3,9.6,0.2,27.6
Colby Jones,34,CHO,2023,30.0,6.4,0.9,2.4,0.2,0.4,0.6,0.8,0.7,0.2,0.2,0.3,1.0,2.1,0.0,-5.0,-0.1,9.4
Julian Phillips,35,BOS,2023,40.0,8.1,0.8,1.9,0.3,0.5,0.3,0.6,0.3,0.2,0.2,0.3,1.0,2.2,0.2,-5.3,-0.3,6.5
Andre Jackson Jr.,36,ORL,2023,57.0,10.0,0.9,1.8,0.1,0.2,0.8,1.2,0.9,0.3,0.1,0.5,1.6,2.2,1.0,-3.6,-0.2,8.7
Hunter Tyson,37,OKC,2023,18.0,2.7,0.4,1.1,0.0,0.0,0.1,0.4,0.1,0.1,0.0,0.1,0.6,1.1,0.0,-8.9,-0.1,6.6
Jordan Walsh,38,SAC,2023,9.0,9.2,0.7,1.7,0.1,0.2,0.6,1.7,0.6,0.6,0.1,0.3,1.2,1.7,0.2,-3.8,0.0,9.2
Mouhamed Gueye,39,CHO,2023,6.0,12.2,1.3,3.8,0.8,1.0,1.7,2.0,0.7,0.8,0.7,0.2,2.2,4.0,0.2,-1.5,0.0,15.6
Maxwell Lewis,40,DEN,2023,34.0,3.0,0.1,0.6,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.3,0.1,0.3,-0.4,-13.5,-0.3,-1.9
Amari Bailey,41,CHO,2023,10.0,6.5,0.8,2.4,0.6,0.7,0.6,0.3,0.7,0.3,0.0,0.4,0.2,2.3,-0.1,-8.3,-0.1,10.8
Tristan Vukcevic,42,WAS,2023,10.0,15.3,2.9,6.7,1.7,2.2,0.6,3.0,1.3,0.5,0.7,1.0,2.8,8.5,0.1,-3.6,-0.1,14.8
Rayan Rupert,43,POR,2023,39.0,16.2,1.4,4.1,0.5,0.6,0.6,1.7,1.6,0.3,0.1,0.8,1.4,4.0,-0.1,-6.7,-0.8,6.2
Sidy Cissoko,44,SAS,2023,12.0,11.8,1.3,2.8,1.0,1.3,0.7,1.2,0.8,0.6,0.3,0.3,1.5,3.8,0.3,-2.7,0.0,12.7
GG Jackson II,45,MEM,2023,48.0,25.7,5.0,11.7,2.4,3.2,1.1,3.0,1.2,0.6,0.5,1.4,1.3,14.6,1.2,-2.0,0.0,14.5
Seth Lundy,46,ATL,2023,9.0,5.8,0.4,1.9,0.3,0.4,0.1,0.7,0.0,0.0,0.0,0.1,0.7,1.6,-0.1,-12.7,-0.1,0.3
Mojave King,47,LAL,2023,,,,,,,,,,,,,,,,,,
Jordan Miller,48,LAC,2023,8.0,3.5,0.6,1.1,0.3,0.3,0.4,0.3,0.0,0.0,0.0,0.1,0.3,1.6,0.1,-3.8,0.0,15.3
Emoni Bates,49,CLE,2023,15.0,8.9,1.0,3.3,0.1,0.3,0.1,0.9,0.7,0.1,0.1,0.5,0.3,2.7,-0.3,-9.2,-0.2,3.4
Keyontae Johnson,50,OKC,2023,9.0,7.3,0.6,1.8,0.0,0.0,0.4,0.7,0.4,0.1,0.0,0.4,0.6,1.2,-0.1,-9.8,-0.1,1.8
