PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Grayson Allen,21,UTA,2018,38.0,10.9,1.8,4.7,1.2,1.6,0.1,0.5,0.7,0.2,0.2,0.9,1.2,5.6,20.0,0.0,4.5,7.8
Chandler Hutchison,22,CHI,2018,44.0,20.3,2.2,4.8,0.5,0.9,0.7,3.5,0.8,0.5,0.1,0.6,1.3,5.2,1.1,-3.9,-0.9,7.9
Aaron Holiday,23,IND,2018,50.0,12.9,2.1,5.2,0.8,1.0,0.1,1.2,1.7,0.4,0.3,0.8,1.4,5.9,8.1,-2.1,-0.2,11.2
Anfernee Simons,24,POR,2018,20.0,7.1,1.4,3.2,0.5,0.8,0.2,0.5,0.7,0.1,0.0,0.6,0.5,3.8,8.6,-1.5,1.1,10.6
Moritz Wagner,25,LAL,2018,43.0,10.4,1.7,4.0,1.0,1.2,0.4,1.6,0.6,0.3,0.3,0.9,1.3,4.8,14.9,-0.1,2.6,10.4
Landry Shamet,26,PHI,2018,25.0,27.8,3.5,8.4,1.2,1.6,0.3,2.0,2.3,0.5,0.1,0.8,2.0,10.9,12.1,-2.0,0.0,10.4
Landry Shamet,26,PHI,2018,54.0,20.5,2.8,6.4,0.8,1.0,0.3,1.2,1.1,0.4,0.1,0.5,2.0,8.3,12.1,-2.0,0.0,10.0
Robert Williams,27,BOS,2018,32.0,8.8,1.1,1.6,0.3,0.5,0.8,1.7,0.2,0.3,1.3,0.3,1.1,2.5,22.6,4.8,7.5,18.1
Jacob Evans,28,GSW,2018,30.0,6.8,0.6,1.8,0.0,0.0,0.2,0.6,0.8,0.2,0.1,0.4,0.9,1.3,-0.6,-7.4,-0.8,3.3
Džanan Musa,29,BRK,2018,9.0,4.3,1.0,2.4,0.0,0.2,0.1,0.4,0.2,0.2,0.0,0.4,0.1,2.1,0.0,-4.6,-0.4,6.2
Omari Spellman,30,ATL,2018,46.0,17.5,2.1,5.3,0.7,1.0,1.6,2.7,1.0,0.6,0.5,0.7,1.5,5.9,2.4,-1.5,0.2,12.5
Elie Okobo,31,PHO,2018,53.0,18.1,2.2,5.5,0.7,0.9,0.2,1.6,2.4,0.6,0.1,1.3,2.1,5.7,0.5,-4.1,-0.9,6.8
Jevon Carter,32,MEM,2018,39.0,14.8,1.4,4.7,0.7,0.8,0.4,1.3,1.8,0.7,0.3,0.8,1.4,4.4,8.2,-1.4,0.8,7.8
Jalen Brunson,33,DAL,2018,73.0,21.8,3.6,7.7,1.2,1.6,0.3,2.0,3.2,0.5,0.1,1.2,1.7,9.3,37.2,2.1,12.4,12.2
Devonte' Graham,34,ATL,2018,46.0,14.7,1.6,4.7,0.8,1.0,0.2,1.2,2.6,0.5,0.0,0.7,1.0,4.7,12.7,-0.5,3.2,9.2
Melvin Frazier,35,ORL,2018,10.0,4.4,0.7,2.1,0.1,0.4,0.3,0.2,0.1,0.1,0.0,0.1,0.6,1.5,-0.4,-10.0,-0.6,1.3
Mitchell Robinson,36,NYK,2018,66.0,20.6,3.1,4.4,1.2,2.0,2.7,3.7,0.6,0.8,2.4,0.5,3.3,7.3,33.9,2.1,8.1,20.7
Gary Trent Jr.,37,SAC,2018,15.0,7.4,1.1,3.3,0.2,0.5,0.1,0.7,0.3,0.1,0.1,0.3,0.3,2.7,15.8,-1.0,2.4,3.5
Khyri Thomas,38,PHI,2018,26.0,7.5,0.8,2.7,0.3,0.4,0.2,0.6,0.3,0.3,0.2,0.2,0.8,2.3,0.5,-2.7,-0.1,5.3
Isaac Bonga,39,PHI,2018,22.0,5.5,0.2,1.5,0.4,0.7,0.4,0.7,0.7,0.4,0.2,0.3,0.4,0.9,1.7,-3.6,-0.7,6.0
Rodions Kurucs,40,BRK,2018,63.0,20.5,3.2,7.1,1.1,1.5,0.9,3.0,0.8,0.7,0.4,1.2,2.3,8.5,2.3,-2.8,-0.4,10.6
Jarred Vanderbilt,41,ORL,2018,17.0,4.1,0.5,1.1,0.4,0.6,0.4,0.9,0.2,0.4,0.1,0.5,0.5,1.4,15.4,0.2,3.0,12.3
Bruce Brown,42,DET,2018,74.0,19.6,1.7,4.2,0.6,0.8,0.6,1.9,1.2,0.5,0.5,0.6,2.4,4.3,19.3,-1.3,1.9,6.2
Justin Jackson,43,DEN,2018,29.0,18.3,3.2,6.6,0.7,1.0,0.7,1.6,1.0,0.3,0.0,0.2,1.1,8.2,,,,13.3
Justin Jackson,43,DEN,2018,52.0,20.8,2.4,5.7,0.8,1.0,0.5,2.3,1.3,0.4,0.3,0.4,1.3,6.7,,,,9.9
Issuf Sanon,44,WAS,2018,,,,,,,,,,,,,,,,,,
Hamidou Diallo,45,BRK,2018,51.0,10.3,1.5,3.2,0.7,1.2,0.7,1.2,0.3,0.4,0.2,0.5,1.5,3.7,6.2,-2.1,-0.1,9.1
De'Anthony Melton,46,HOU,2018,50.0,19.7,2.0,5.1,0.4,0.6,0.5,2.2,3.2,1.4,0.5,1.5,2.3,5.0,14.1,0.6,5.3,9.4
Svi Mykhailiuk,47,LAL,2018,3.0,6.7,0.7,2.7,0.0,0.0,0.3,0.3,1.3,0.3,0.0,0.3,0.0,2.0,4.2,-2.4,-0.4,9.0
Svi Mykhailiuk,47,LAL,2018,39.0,10.8,1.1,3.4,0.3,0.5,0.2,0.7,0.8,0.3,0.0,0.5,0.6,3.3,4.2,-2.4,-0.4,5.5
Keita Bates-Diop,48,MIN,2018,30.0,16.8,2.0,4.7,0.6,0.9,0.5,2.2,0.6,0.6,0.5,0.5,1.0,5.0,7.4,-1.6,0.5,9.2
Chimezie Metu,49,SAS,2018,29.0,5.0,0.7,2.0,0.4,0.6,0.3,0.9,0.4,0.2,0.1,0.5,0.5,1.8,5.7,-1.6,0.3,6.5
Alize Johnson,50,IND,2018,14.0,4.6,0.3,1.1,0.3,0.6,0.3,1.1,0.1,0.1,0.2,0.0,0.5,0.9,1.3,-2.4,-0.1,6.6
Tony Carr,51,NOP,2018,,,,,,,,,,,,,,,,,,
Vince Edwards,52,UTA,2018,2.0,8.0,0.5,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,-6.4,0.0,4.0
Devon Hall,53,OKC,2018,,,,,,,,,,,,,,,-0.2,-6.7,-0.1,
Shake Milton,54,DAL,2018,20.0,13.4,1.7,4.4,0.3,0.4,0.5,1.3,0.9,0.4,0.4,0.3,1.5,4.4,10.4,-2.0,0.0,9.2
Arnoldas Kulboka,55,CHO,2018,,,,,,,,,,,,,,,0.0,-21.8,0.0,
Ray Spalding,56,PHI,2018,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-6.2,-0.2,0.7
Ray Spalding,56,PHI,2018,13.0,11.3,1.9,3.6,0.3,0.9,1.2,2.5,0.4,0.7,0.6,0.7,1.8,4.2,0.1,-6.2,-0.2,14.3
Kevin Hervey,57,OKC,2018,,,,,,,,,,,,,,,-0.1,-5.1,0.0,
Thomas Welsh,58,DEN,2018,11.0,3.3,0.6,1.2,0.1,0.2,0.0,0.4,0.5,0.0,0.0,0.1,0.3,1.6,0.1,1.2,0.0,14.0
George King,59,PHO,2018,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-17.2,-0.1,2.0
Kostas Antetokounmpo,60,PHI,2018,2.0,5.5,0.0,1.5,1.0,2.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,-0.2,-9.9,-0.2,-1.3
