PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Deandre Ayton,1,PHO,2018,71.0,30.7,7.2,12.3,2.0,2.7,3.1,7.1,1.8,0.9,0.9,1.8,2.9,16.3,34.8,1.0,8.3,20.0
Marvin Bagley III,2,SAC,2018,62.0,25.3,5.7,11.4,2.9,4.2,2.6,5.0,1.0,0.5,1.0,1.6,1.9,14.9,12.0,-1.6,0.6,18.8
Luka Dončić,3,ATL,2018,72.0,32.2,7.0,16.5,4.8,6.7,1.2,6.6,6.0,1.1,0.3,3.4,1.9,21.2,51.2,7.8,34.3,18.6
Jaren Jackson Jr.,4,MEM,2018,58.0,26.1,5.1,10.2,2.6,3.4,1.3,3.4,1.1,0.9,1.4,1.7,3.8,13.8,22.4,0.6,6.3,15.1
Trae Young,5,DAL,2018,81.0,30.9,6.5,15.5,4.2,5.1,0.8,2.9,8.1,0.9,0.2,3.8,1.7,19.1,37.6,3.0,17.5,17.2
Mo Bamba,6,ORL,2018,47.0,16.3,2.5,5.2,0.8,1.3,1.4,3.6,0.8,0.3,1.4,0.9,2.2,6.2,14.6,0.1,3.0,14.3
Wendell Carter Jr.,7,CHI,2018,44.0,25.2,4.1,8.4,2.0,2.5,2.0,5.0,1.8,0.6,1.3,1.5,3.5,10.3,22.5,-0.1,4.2,14.3
Collin Sexton,8,CLE,2018,82.0,31.8,6.3,14.7,2.6,3.1,0.7,2.2,3.0,0.5,0.1,2.3,2.3,16.7,13.4,-1.5,1.3,10.7
Kevin Knox,9,NYK,2018,75.0,28.8,4.5,12.2,2.2,3.0,0.8,3.7,1.1,0.6,0.3,1.5,2.3,12.8,0.7,-4.5,-3.5,7.9
Mikal Bridges,10,PHI,2018,82.0,29.5,3.0,6.9,1.2,1.4,0.7,2.5,2.1,1.6,0.5,0.9,2.5,8.3,36.3,0.9,11.4,10.1
Shai Gilgeous-Alexander,11,CHO,2018,82.0,26.5,4.2,8.7,1.9,2.4,0.7,2.1,3.3,1.2,0.5,1.7,2.1,10.8,43.6,4.3,20.2,12.9
Miles Bridges,12,LAC,2018,80.0,21.2,3.0,6.4,0.7,1.0,0.8,3.2,1.2,0.7,0.6,0.6,1.4,7.5,18.2,-0.4,4.4,12.3
Jerome Robinson,13,LAC,2018,33.0,9.7,1.3,3.3,0.2,0.3,0.1,1.2,0.6,0.3,0.1,0.4,1.4,3.4,-0.2,-4.8,-1.2,6.6
Michael Porter Jr.,14,DEN,2018,,,,,,,,,,,,,,,20.1,0.9,5.5,
Troy Brown Jr.,15,WAS,2018,52.0,14.0,1.9,4.5,0.6,0.9,0.7,2.1,1.5,0.4,0.1,0.6,1.1,4.8,8.6,-1.8,0.4,11.0
Zhaire Smith,16,PHO,2018,6.0,18.5,2.3,5.7,1.0,1.3,0.5,1.7,1.7,0.3,0.3,1.0,1.3,6.7,0.0,-6.1,-0.1,9.3
Donte DiVincenzo,17,MIL,2018,27.0,15.2,1.9,4.6,0.3,0.4,0.6,1.8,1.1,0.5,0.2,0.7,1.4,4.9,20.0,1.0,6.7,9.0
Lonnie Walker IV,18,SAS,2018,17.0,6.9,0.9,2.7,0.5,0.6,0.0,1.0,0.5,0.4,0.2,0.2,0.4,2.6,4.6,-2.5,-0.9,10.0
Kevin Huerter,19,ATL,2018,75.0,27.3,3.7,8.8,0.5,0.7,0.8,2.5,2.9,0.9,0.3,1.5,2.1,9.7,17.2,-0.8,3.5,10.0
Josh Okogie,20,MIN,2018,74.0,23.7,2.6,6.9,1.6,2.2,0.6,2.4,1.2,1.2,0.4,0.9,2.2,7.7,10.3,-2.1,-0.2,8.6
