PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Zion Williamson,1,NOP,2019,24.0,27.8,8.8,15.0,4.8,7.4,2.7,3.6,2.1,0.7,0.4,2.5,1.8,22.5,21.7,4.6,9.8,24.4
Ja Morant,2,MEM,2019,67.0,31.0,6.7,14.0,3.6,4.6,0.8,3.1,7.3,0.9,0.3,3.3,1.6,17.8,20.5,2.8,10.1,17.5
RJ Barrett,3,NYK,2019,56.0,30.4,5.2,13.0,2.8,4.5,0.9,4.1,2.6,1.0,0.3,2.2,2.2,14.3,10.9,-2.1,-0.4,9.8
De'Andre Hunter,4,LAL,2019,63.0,32.0,4.4,10.8,1.7,2.3,0.7,3.8,1.8,0.7,0.3,1.6,2.9,12.3,7.6,-3.2,-2.5,8.3
Darius Garland,5,CLE,2019,59.0,30.9,4.7,11.8,1.1,1.2,0.5,1.4,3.9,0.7,0.1,2.6,1.6,12.3,16.5,-0.3,4.3,8.0
Jarrett Culver,6,PHO,2019,63.0,23.9,3.7,9.0,0.9,1.9,1.1,2.3,1.7,0.9,0.6,1.3,2.0,9.2,-0.1,-4.5,-1.6,9.3
Coby White,7,CHI,2019,65.0,25.8,4.8,12.2,1.6,2.0,0.4,3.1,2.7,0.8,0.1,1.7,1.8,13.2,13.5,-1.7,0.8,11.2
Jaxson Hayes,8,ATL,2019,64.0,16.9,2.7,4.0,1.9,3.0,1.5,2.5,0.9,0.4,0.9,0.8,2.5,7.4,16.4,-0.4,2.0,17.5
Rui Hachimura,9,WAS,2019,48.0,30.1,5.3,11.4,2.4,2.9,1.6,4.5,1.8,0.8,0.2,1.1,2.2,13.5,11.3,-2.2,-0.4,13.5
Cam Reddish,10,ATL,2019,58.0,26.7,3.7,9.6,1.7,2.2,0.6,3.1,1.5,1.1,0.5,1.7,2.3,10.5,2.6,-3.2,-1.6,8.6
Cameron Johnson,11,MIN,2019,57.0,22.0,3.1,7.1,0.8,1.0,0.9,2.4,1.2,0.6,0.4,0.6,1.5,8.8,17.7,1.2,5.9,12.6
P.J. Washington,12,CHO,2019,58.0,30.3,4.6,10.2,1.5,2.3,1.0,4.4,2.1,0.9,0.8,1.6,2.7,12.2,12.5,-1.2,1.9,11.4
Tyler Herro,13,MIA,2019,55.0,27.4,4.9,11.5,1.6,1.8,0.3,3.8,2.2,0.6,0.2,1.6,1.4,13.5,12.5,-0.1,4.5,12.0
Romeo Langford,14,BOS,2019,32.0,11.6,0.9,2.5,0.6,0.8,0.5,0.8,0.4,0.3,0.3,0.3,1.0,2.5,2.0,-3.4,-0.8,5.9
Sekou Doumbouya,15,DET,2019,38.0,19.8,2.4,6.2,0.8,1.2,0.5,2.6,0.5,0.5,0.2,0.9,2.1,6.4,-0.4,-6.5,-1.8,5.7
Chuma Okeke,16,ORL,2019,,,,,,,,,,,,,,,4.4,-1.1,0.9,
Nickeil Alexander-Walker,17,BRK,2019,47.0,12.6,2.1,5.7,0.5,0.8,0.2,1.6,1.9,0.4,0.2,1.1,1.2,5.7,6.0,-1.5,0.8,9.2
Goga Bitadze,18,IND,2019,54.0,8.7,1.3,2.8,0.4,0.6,0.5,1.5,0.4,0.2,0.7,0.5,1.2,3.2,9.1,0.0,1.6,11.8
Luka Šamanić,19,SAS,2019,3.0,16.0,1.7,5.3,1.0,1.3,0.3,3.0,2.0,0.0,0.7,0.7,2.0,5.3,0.0,-5.6,-0.8,8.2
Matisse Thybulle,20,BOS,2019,65.0,19.8,1.7,4.1,0.4,0.6,0.7,1.0,1.2,1.4,0.7,0.8,2.2,4.7,13.2,0.7,4.7,9.0
Brandon Clarke,21,OKC,2019,58.0,22.4,5.1,8.3,1.5,1.9,1.6,4.4,1.4,0.6,0.8,0.9,1.7,12.1,20.2,2.8,6.2,21.2
Grant Williams,22,BOS,2019,69.0,15.1,1.3,3.1,0.6,0.8,0.9,1.7,1.0,0.4,0.5,0.7,2.4,3.4,14.8,-1.9,0.3,7.1
Darius Bazley,23,UTA,2019,61.0,18.5,2.0,5.2,0.7,1.0,0.5,3.5,0.7,0.4,0.7,0.7,0.9,5.6,3.1,-2.4,-0.6,9.2
Ty Jerome,24,PHI,2019,31.0,10.6,1.2,3.6,0.4,0.5,0.2,1.3,1.4,0.5,0.1,0.6,0.9,3.3,3.9,-1.6,0.3,8.0
Nassir Little,25,POR,2019,48.0,11.9,1.4,3.1,0.6,0.9,0.6,1.6,0.5,0.3,0.3,0.3,1.5,3.6,4.7,-2.6,-0.5,9.3
Dylan Windler,26,CLE,2019,,,,,,,,,,,,,,,1.6,-1.4,0.2,
Mfiondu Kabengele,27,BRK,2019,12.0,5.3,1.2,2.7,0.4,0.4,0.1,0.8,0.2,0.2,0.2,0.2,0.8,3.5,0.4,-3.6,-0.2,17.5
Jordan Poole,28,GSW,2019,57.0,22.4,2.9,8.8,1.7,2.1,0.2,1.9,2.4,0.6,0.2,1.3,1.6,8.8,9.3,-2.2,-0.4,7.3
Keldon Johnson,29,SAS,2019,17.0,17.7,3.1,5.2,2.1,2.6,0.6,2.8,0.9,0.8,0.1,0.8,1.6,9.1,13.5,-1.3,1.6,18.0
